hostname,planet_letter,semi_major_axis,distance,apparent_magnitude,st_sp,spectral_type
11 Com,b,1.290000,93.37,4.740,5.00,K0 III
11 UMi,b,1.530000,125.72,5.016,5.40,K4 III
14 And,b,0.830000,75.59,5.227,4.80,G8 III
14 Her,b,2.930000,17.94,6.610,5.00,K0 V
16 Cyg B,b,1.660000,21.15,6.250,4.25,G2.5 V
18 Del,b,2.600000,76.38,5.506,4.60,G6 III
24 Boo,b,0.190000,96.25,5.580,4.30,G3 IV
24 Sex,b,1.333000,72.21,6.441,5.00,K0 IV
24 Sex,c,2.080000,72.21,6.441,5.00,K0 IV
2MASS J01225093-2439505,b,52.000000,36.00,14.240,6.35,M3.5 V
2MASS J12073346-3932539,b,46.000000,64.42,20.150,6.80,M8
2MASS J22362452+4751425,b,230.000000,74.00,12.510,5.70,K7 V
30 Ari B,b,0.990000,44.71,6.962,3.60,F6 V
4 UMa,b,0.870000,73.58,4.610,5.10,K1 III
42 Dra,b,1.190000,90.86,4.820,5.15,K1.5 III
47 UMa,b,2.100000,13.80,5.050,4.00,G0 V
47 UMa,c,3.600000,13.80,5.050,4.00,G0 V
47 UMa,d,11.600000,13.80,5.050,4.00,G0 V
51 Eri,b,12.000000,29.40,5.230,3.00,F0 IV
51 Peg,b,0.052700,15.47,5.500,4.25,G2.5 IV
55 Cnc,b,0.115227,12.59,5.960,4.80,G8 V
55 Cnc,c,0.241376,12.59,5.960,4.80,G8 V
55 Cnc,d,5.503000,12.59,5.960,4.80,G8 V
55 Cnc,e,0.015440,12.59,5.960,4.80,G8 V
55 Cnc,f,0.788000,12.59,5.960,4.80,G8 V
6 Lyn,b,2.110000,54.74,5.860,5.00,K0 III-IV
61 Vir,b,0.050201,8.51,4.740,4.50,G5 V
61 Vir,c,0.217500,8.51,4.740,4.50,G5 V
61 Vir,d,0.476000,8.51,4.740,4.50,G5 V
7 CMa,b,1.758000,19.82,3.920,5.10,K1 III
7 CMa,c,2.153000,19.82,3.920,5.10,K1 III
70 Vir,b,0.481000,17.91,4.970,4.40,G4 V
75 Cet,b,2.100000,83.15,5.350,4.30,G3 III
8 UMi,b,0.490000,163.32,6.830,5.00,K0
81 Cet,b,2.500000,101.53,5.650,4.50,G5 III
91 Aqr,b,0.700000,44.08,4.250,5.00,K0 III
AB Pic,b,260.000000,50.12,9.128,5.20,K2 V
AU Mic,b,0.066000,9.79,8.810,6.10,M1 VE
BD+14 4559,b,0.780000,49.42,9.630,5.20,K2 V
BD+15 2375,b,0.576000,774.00,10.310,4.50,G5
BD+15 2940,b,0.539000,431.61,9.046,5.00,K0
BD+20 2457,b,1.050000,1670.85,9.750,5.20,K2 II
BD+20 2457,c,2.010000,1670.85,9.750,5.20,K2 II
BD+20 274,b,1.300000,1383.85,9.360,5.50,K5 III
BD+48 738,b,1.000000,892.17,9.140,5.00,K0 III
BD+48 740,b,1.700000,678.94,8.699,5.30,K3 III
BD+49 828,b,4.200000,447.59,9.380,5.00,K0
BD-06 1339,b,0.042800,20.28,9.700,5.85,K7/M0 V
BD-06 1339,c,0.435000,20.28,9.700,5.85,K7/M0 V
BD-08 2823,b,0.060000,41.38,9.880,5.30,K3 V
BD-08 2823,c,0.680000,41.38,9.880,5.30,K3 V
BD-10 3166,b,0.040000,84.61,10.080,5.00,K0 V
BD-11 4672,b,2.360000,27.30,9.990,5.70,K7 V
BD-11 4672,c,0.300000,27.30,9.990,5.70,K7 V
BD-13 2130,b,1.660000,948.75,9.450,4.50,G5 IV/V
BD-17 63,b,1.340000,34.49,9.566,5.50,K5 V
CoRoT-10,b,0.105500,345.00,15.220,5.10,K1 V
CoRoT-11,b,0.043600,560.00,12.939,3.60,F6 V
CoRoT-13,b,0.051000,1060.00,15.039,4.00,G0 V
CoRoT-14,b,0.027000,1340.00,16.033,3.90,F9 V
CoRoT-16,b,0.061800,840.00,15.630,4.50,G5 V
CoRoT-17,b,0.046100,920.00,15.460,4.20,G2 V
CoRoT-18,b,0.029500,870.00,15.000,4.90,G9 V
CoRoT-19,b,0.051800,770.00,14.007,3.90,F9 V
CoRoT-20,b,0.090000,864.31,14.660,4.20,G2 V
CoRoT-20,c,2.900000,864.31,14.660,4.20,G2 V
CoRoT-21,b,0.041700,1398.83,16.000,3.80,F8 IV
CoRoT-22,b,0.092000,592.00,13.944,4.30,G3 V
CoRoT-23,b,0.048000,600.00,15.630,4.00,G0 V
CoRoT-27,b,0.047600,1035.15,15.540,4.20,G2
CoRoT-30,b,0.084400,960.00,15.650,4.30,G3 V
CoRoT-6,b,0.085500,657.24,13.912,3.90,F9 V
CoRoT-7,c,0.046000,160.64,11.668,4.90,G9 V
CoRoT-8,b,0.063000,380.00,14.800,5.10,K1 V
CoRoT-9,b,0.402100,417.89,13.690,4.30,G3 V
DMPP-1,b,0.146200,62.00,7.981,3.80,F8 V
DMPP-1,c,0.073300,62.00,7.981,3.80,F8 V
DMPP-1,d,0.042200,62.00,7.981,3.80,F8 V
DMPP-1,e,0.065100,62.00,7.981,3.80,F8 V
DMPP-2,b,0.066400,134.00,8.567,3.50,F5 V
DMPP-3 A,b,0.066200,48.90,9.066,5.00,K0 V
EPIC 211822797,b,0.131000,187.19,15.256,6.00,M0
EPIC 211945201,b,0.149300,182.69,10.154,4.00,G0
EPIC 212737443,b,0.098000,347.45,14.836,5.30,K3
EPIC 212737443,c,0.280000,347.45,14.836,5.30,K3
EPIC 220674823,b,0.013400,246.10,12.102,4.50,G5 V
EPIC 220674823,c,0.109100,246.10,12.102,4.50,G5 V
EPIC 246851721,b,0.072290,336.70,11.439,3.50,F5 V
EPIC 249893012,b,0.047000,324.22,11.428,4.80,G8 IV/V
EPIC 249893012,c,0.130000,324.22,11.428,4.80,G8 IV/V
EPIC 249893012,d,0.220000,324.22,11.428,4.80,G8 IV/V
G 9-40,b,0.038500,27.93,13.823,6.20,M2.5 V
GJ 1061,b,0.021000,3.67,13.060,6.50,M5.5 V
GJ 1061,c,0.035000,3.67,13.060,6.50,M5.5 V
GJ 1061,d,0.054000,3.67,13.060,6.50,M5.5 V
GJ 1132,b,0.015300,12.62,13.490,6.45,M4.5 V
GJ 1132,c,0.047600,12.62,13.490,6.45,M4.5 V
GJ 1148,b,0.166000,11.02,11.920,6.40,M4
GJ 1148,c,0.912000,11.02,11.920,6.40,M4
GJ 1214,b,0.014110,14.65,15.100,6.45,M4.5
GJ 1252,b,0.009160,20.38,12.193,6.30,M3
GJ 1265,b,0.026000,10.26,13.570,6.40,M4.5 V
GJ 143,b,0.191500,16.33,7.870,5.40,K4.5
GJ 15 A,b,0.072000,3.56,8.080,6.10,M1
GJ 15 A,c,5.400000,3.56,8.080,6.10,M1
GJ 160.2,b,0.053000,25.88,9.680,6.00,M0 V
GJ 163,b,0.060700,15.14,11.810,6.35,M3.5 V
GJ 163,c,0.125400,15.14,11.810,6.35,M3.5 V
GJ 163,d,1.030400,15.14,11.810,6.35,M3.5 V
GJ 179,b,2.410000,12.36,12.000,6.35,M3.5 V
GJ 180,b,0.092000,11.94,10.910,6.20,M2 V
